tqi_mile,original_count,clean_count,time_span_days,tqi_mean,tqi_std,seasonal_amplitude,data_driven_mae,rolling_anchor_mae,post_maintenance_mae,best_strategy,trident_improvement,is_trident_effective
1011400,505,504,4845,3.0853690476190474,1.0035295696348447,0.5169444444444444,1.825474357057416,1.343337066390733,0.2954910794403222,post_maintenance,83.81291535003314,True
1018400,505,503,4845,2.860934393638171,0.8911710533252529,0.7896708595387838,1.556933135159543,1.4047126568242132,0.294165880955919,post_maintenance,81.10606844231785,True
1026400,510,509,4845,2.941001964636542,0.7616514938130357,0.7504588235294123,1.3076678049496944,1.129074119031975,0.2597603096367398,post_maintenance,80.13560411493555,True
1010400,511,509,4845,3.16875442043222,0.699600668298543,0.6154296296296295,1.1055940735844902,1.1163101268130589,0.2431014770923317,post_maintenance,78.01168775225406,True
1012400,506,503,4845,3.025996023856859,0.829375291702225,0.77937037037037,1.4091594671884409,1.2798326049193482,0.3116590743829637,post_maintenance,77.88333530449987,True
1025400,508,508,4845,3.0698090551181103,0.8363271262415614,0.8861919191919192,1.2984633894872502,1.2887160843478689,0.3085380824194293,post_maintenance,76.2382147300073,True
1027400,509,507,4845,3.351445759368836,0.77578747861324,0.8896052631578941,1.2418158302869169,0.8391972163002321,0.3265483872858898,post_maintenance,73.70396001390624,True
1033400,511,510,4845,2.947072549019608,0.7441213147545737,1.02535935828877,1.0080494864612508,1.0217156630901598,0.2657215787975458,post_maintenance,73.64002637109026,True
1037400,509,509,4845,2.7849705304518664,0.5847761543570662,0.8389424242424242,0.8202096643901009,0.7593357598036262,0.2193593069850403,post_maintenance,73.25570320508798,True
1190400,508,507,4845,2.2361360946745563,0.7607291431697107,0.6328494623655914,0.6785538384845461,0.1902669752421356,0.6322168411357828,rolling_anchor,71.95992941885495,True
1047400,502,500,4845,3.228396,0.8489280421953627,0.7096091269841271,1.3537701333333336,1.3515822836313272,0.3854031763309418,post_maintenance,71.53112135943056,True
1014400,504,503,4845,3.079489065606362,0.8045866792843357,0.8408767295597488,1.2513367135761586,0.8652526207888424,0.3788293754475244,post_maintenance,69.72602407189996,True
792400,516,515,4845,3.3875067961165044,0.8533879548088705,0.6028833333333337,1.4134112544802868,1.669689666225006,0.438239940610419,post_maintenance,68.9941664733977,True
1067400,509,508,4845,3.4236692913385824,0.7950767226831346,0.670777777777777,1.301033747583541,1.3030218662374833,0.4301639176095092,post_maintenance,66.93675944928647,True
1024400,509,505,4845,3.053768316831684,0.6636157359691911,0.833971590909091,0.9993720366780976,0.9075665802292674,0.3361468647346375,post_maintenance,66.36419147247842,True
1045400,509,507,4845,3.186556213017751,0.7202358764208112,0.5328947368421053,1.139914848048447,0.99117696514078,0.3932249988561432,post_maintenance,65.50400237970835,True
713400,514,506,4845,3.3383418972332017,0.4405339151524678,0.4481481481481482,0.5596962533452274,0.1944575245511268,1.281074554706898,rolling_anchor,65.25659705797904,True
1028400,509,507,4845,3.484994082840237,0.6887246663020159,0.8053959595959603,0.980208374875374,0.8340079600790604,0.3517937090397598,post_maintenance,64.1103138825469,True
1090400,507,507,4845,3.255865877712032,0.8816083833876894,0.6320185185185188,1.4204395332520954,1.3196534292940958,0.5157538840766612,post_maintenance,63.690542821217946,True
874400,514,513,4845,3.3774444444444445,0.813061304512663,0.6493666666666669,1.346830843251456,1.465010961747217,0.493997826216383,post_maintenance,63.32146470422399,True
1068400,510,510,4845,2.9040078431372547,0.8181627123665135,0.7892196969696972,1.2392454184288098,0.9528535064274224,0.4581853204056851,post_maintenance,63.02707166861264,True
1043400,510,508,4845,3.289968503937008,0.7390521216083296,0.5103383838383837,1.140210770505385,0.9475555303289768,0.4278455278417163,post_maintenance,62.47662810165537,True
1208400,506,503,4845,2.766149105367793,0.5653946931111062,0.6376759259259264,0.5801456389223357,0.2762310895757088,0.2278014300636688,post_maintenance,60.73375118585271,True
501400,260,252,2627,1.7950793650793648,0.1902242167554717,0.2354210526315792,0.2089712918660289,0.0827993708610052,0.5456924728856866,rolling_anchor,60.37763363491685,True
963400,514,512,4845,2.62768359375,0.5232530729584349,0.5769369369369368,0.8350454182688818,0.9186496204547177,0.3311462962933532,post_maintenance,60.34391794163163,True
